file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Sword.java,com.ramesh.gof.bridge.secondexample.Sword,class,4,6,2,4,5,1,0,5,0,0.2,1.0,1.0,5,0,5,0,0,0,5,0,0,0,2,1,0,2,0,0,2,0,0,22,1,0,0,0,0,3,0,2,0,2,0,0,0,0,16,1,3
C:\kanmaytacker\factory-pattern\src\main\java\com\ramesh\gof\factory\pizzaa\Veggies.java,com.ramesh.gof.factory.pizzaa.Veggies,interface,0,11,11,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\kanmaytacker\chain-of-responsibility\src\main\java\com\ramesh\gof\chain\App.java,com.ramesh.gof.chain.App,class,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,1,0,1,0,0,0,0,74,1,0
C:\kanmaytacker\factory-pattern\src\main\java\com\ramesh\gof\factory\pizzaa\Garlic.java,com.ramesh.gof.factory.pizzaa.Garlic,class,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0
C:\kanmaytacker\iterator\src\main\java\com\ramesh\gof\iterator\App.java,com.ramesh.gof.iterator.App,class,2,2,0,2,5,1,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,3,0,5,0,5,1,0,0,0,54,1,0
C:\kanmaytacker\factory-pattern\src\main\java\com\ramesh\gof\factory\pizzafm\ChicagoStyleCheesePizza.java,com.ramesh.gof.factory.pizzafm.ChicagoStyleCheesePizza,class,1,3,2,1,2,2,0,2,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,0,3,0,0,0,0,0,0,18,1,0
C:\kanmaytacker\builder\src\main\java\com\iluwatar\builder\App.java,com.iluwatar.builder.App,class,2,2,0,2,1,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,3,0,3,0,0,0,0,117,1,0
C:\kanmaytacker\prototype\src\main\java\com\ramesh\gof\prototype\OrcWarlord.java,com.ramesh.gof.prototype.OrcWarlord,class,2,4,2,2,3,3,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
C:\kanmaytacker\decorator\src\main\java\com\ramesh\gof\decorator\Hostile.java,com.ramesh.gof.decorator.Hostile,interface,0,3,3,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\kanmaytacker\proxy\src\main\java\com\ramesh\gof\proxy\secondexample\WizardTowerProxy.java,com.ramesh.gof.proxy.secondexample.WizardTowerProxy,class,2,3,1,2,2,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,0,2,0,0,1,0,0,13,0,0,0,0,0,1,1,1,1,2,1,0,0,0,30,1,0
C:\kanmaytacker\factory-pattern\src\main\java\com\ramesh\gof\factory\pizzaa\Clams.java,com.ramesh.gof.factory.pizzaa.Clams,interface,0,6,6,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Enchantment.java,com.ramesh.gof.bridge.secondexample.Enchantment,interface,0,5,5,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\kanmaytacker\src\main\java\com\ramesh\gof\facade\hometheater\Projector.java,com.ramesh.gof.facade.hometheater.Projector,class,1,3,2,1,6,1,0,1,0,0.41666666,1.0,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,0,0,2,0,0,0,23,1,0,0,0,0,4,0,2,4,2,0,0,0,0,20,1,0
C:\kanmaytacker\factory-pattern\src\main\java\com\ramesh\gof\factory\pizzaa\NYPizzaStore.java,com.ramesh.gof.factory.pizzaa.NYPizzaStore,class,8,9,1,8,5,2,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,8,0,6,0,2,1,0,0,0,17,1,0
C:\kanmaytacker\abstract-factory\src\main\java\com\ramesh\gof\abstractfactory\ElfKing.java,com.ramesh.gof.abstractfactory.ElfKing,class,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,18,1,0
