file,class,method,variable,usage
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Sword.java,com.ramesh.gof.bridge.secondexample.Sword,swing/0,enchantment,1
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Sword.java,com.ramesh.gof.bridge.secondexample.Sword,swing/0,LOGGER,1
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Sword.java,com.ramesh.gof.bridge.secondexample.Sword,unwield/0,enchantment,1
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Sword.java,com.ramesh.gof.bridge.secondexample.Sword,unwield/0,LOGGER,1
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Sword.java,com.ramesh.gof.bridge.secondexample.Sword,wield/0,enchantment,1
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Sword.java,com.ramesh.gof.bridge.secondexample.Sword,wield/0,LOGGER,1
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Sword.java,com.ramesh.gof.bridge.secondexample.Sword,getEnchantment/0,enchantment,1
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Sword.java,com.ramesh.gof.bridge.secondexample.Sword,Sword/1[com.ramesh.gof.bridge.secondexample.Enchantment],enchantment,3
C:\kanmaytacker\proxy\src\main\java\com\ramesh\gof\proxy\secondexample\WizardTowerProxy.java,com.ramesh.gof.proxy.secondexample.WizardTowerProxy,enter/1[com.ramesh.gof.proxy.secondexample.Wizard],NUM_WIZARDS_ALLOWED,1
C:\kanmaytacker\proxy\src\main\java\com\ramesh\gof\proxy\secondexample\WizardTowerProxy.java,com.ramesh.gof.proxy.secondexample.WizardTowerProxy,enter/1[com.ramesh.gof.proxy.secondexample.Wizard],numWizards,2
C:\kanmaytacker\src\main\java\com\ramesh\gof\facade\hometheater\Projector.java,com.ramesh.gof.facade.hometheater.Projector,toString/0,description,1
C:\kanmaytacker\src\main\java\com\ramesh\gof\facade\hometheater\Projector.java,com.ramesh.gof.facade.hometheater.Projector,on/0,description,1
C:\kanmaytacker\src\main\java\com\ramesh\gof\facade\hometheater\Projector.java,com.ramesh.gof.facade.hometheater.Projector,tvMode/0,description,1
C:\kanmaytacker\src\main\java\com\ramesh\gof\facade\hometheater\Projector.java,com.ramesh.gof.facade.hometheater.Projector,"Projector/2[java.lang.String,com.ramesh.gof.facade.hometheater.DvdPlayer]",description,3
C:\kanmaytacker\src\main\java\com\ramesh\gof\facade\hometheater\Projector.java,com.ramesh.gof.facade.hometheater.Projector,"Projector/2[java.lang.String,com.ramesh.gof.facade.hometheater.DvdPlayer]",dvdPlayer,3
