file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Sword.java,com.ramesh.gof.bridge.secondexample.Sword,swing/0,false,21,1,2,1,1,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,false
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Sword.java,com.ramesh.gof.bridge.secondexample.Sword,unwield/0,false,27,1,2,1,1,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,false
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Sword.java,com.ramesh.gof.bridge.secondexample.Sword,wield/0,false,15,1,2,1,1,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,false
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Sword.java,com.ramesh.gof.bridge.secondexample.Sword,getEnchantment/0,false,33,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Sword.java,com.ramesh.gof.bridge.secondexample.Sword,Sword/1[com.ramesh.gof.bridge.secondexample.Enchantment],true,10,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\kanmaytacker\factory-pattern\src\main\java\com\ramesh\gof\factory\pizzaa\Veggies.java,com.ramesh.gof.factory.pizzaa.Veggies,toString/0,false,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\kanmaytacker\chain-of-responsibility\src\main\java\com\ramesh\gof\chain\App.java,com.ramesh.gof.chain.App,main/1[java.lang.String[]],false,45,2,3,0,3,1,1,6,0,1,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,11,9,0,true
C:\kanmaytacker\factory-pattern\src\main\java\com\ramesh\gof\factory\pizzaa\Garlic.java,com.ramesh.gof.factory.pizzaa.Garlic,toString/0,false,5,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\kanmaytacker\iterator\src\main\java\com\ramesh\gof\iterator\App.java,com.ramesh.gof.iterator.App,main/1[java.lang.String[]],false,42,2,4,0,4,5,5,22,0,5,1,5,0,0,4,0,0,0,3,0,5,0,1,0,0,0,16,9,0,true
C:\kanmaytacker\factory-pattern\src\main\java\com\ramesh\gof\factory\pizzafm\ChicagoStyleCheesePizza.java,com.ramesh.gof.factory.pizzafm.ChicagoStyleCheesePizza,ChicagoStyleCheesePizza/0,true,5,0,2,2,0,1,1,6,0,0,0,1,0,0,0,0,0,0,4,0,3,0,0,0,0,0,13,1,0,false
C:\kanmaytacker\factory-pattern\src\main\java\com\ramesh\gof\factory\pizzafm\ChicagoStyleCheesePizza.java,com.ramesh.gof.factory.pizzafm.ChicagoStyleCheesePizza,cut/0,false,13,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,false
C:\kanmaytacker\builder\src\main\java\com\iluwatar\builder\App.java,com.iluwatar.builder.App,main/1[java.lang.String[]],false,58,2,6,0,6,1,6,8,0,3,1,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,11,9,0,true
C:\kanmaytacker\prototype\src\main\java\com\ramesh\gof\prototype\OrcWarlord.java,com.ramesh.gof.prototype.OrcWarlord,OrcWarlord/0,true,32,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\kanmaytacker\prototype\src\main\java\com\ramesh\gof\prototype\OrcWarlord.java,com.ramesh.gof.prototype.OrcWarlord,clone/0,false,35,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\kanmaytacker\prototype\src\main\java\com\ramesh\gof\prototype\OrcWarlord.java,com.ramesh.gof.prototype.OrcWarlord,toString/0,false,40,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\kanmaytacker\decorator\src\main\java\com\ramesh\gof\decorator\Hostile.java,com.ramesh.gof.decorator.Hostile,fleeBattle/0,false,36,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\kanmaytacker\decorator\src\main\java\com\ramesh\gof\decorator\Hostile.java,com.ramesh.gof.decorator.Hostile,getAttackPower/0,false,34,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\kanmaytacker\decorator\src\main\java\com\ramesh\gof\decorator\Hostile.java,com.ramesh.gof.decorator.Hostile,attack/0,false,32,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
C:\kanmaytacker\proxy\src\main\java\com\ramesh\gof\proxy\secondexample\WizardTowerProxy.java,com.ramesh.gof.proxy.secondexample.WizardTowerProxy,enter/1[com.ramesh.gof.proxy.secondexample.Wizard],false,37,1,1,1,0,2,2,9,0,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,23,1,0,false
C:\kanmaytacker\factory-pattern\src\main\java\com\ramesh\gof\factory\pizzaa\Clams.java,com.ramesh.gof.factory.pizzaa.Clams,toString/0,false,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Enchantment.java,com.ramesh.gof.bridge.secondexample.Enchantment,onActivate/0,false,4,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Enchantment.java,com.ramesh.gof.bridge.secondexample.Enchantment,onDeactivate/0,false,8,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Enchantment.java,com.ramesh.gof.bridge.secondexample.Enchantment,apply/0,false,6,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
