file,class,method,variable,usage
C:\kanmaytacker\bridge\src\main\java\com\ramesh\gof\bridge\secondexample\Sword.java,com.ramesh.gof.bridge.secondexample.Sword,Sword/1[com.ramesh.gof.bridge.secondexample.Enchantment],enchantment,2
C:\kanmaytacker\chain-of-responsibility\src\main\java\com\ramesh\gof\chain\App.java,com.ramesh.gof.chain.App,main/1[java.lang.String[]],args,0
C:\kanmaytacker\chain-of-responsibility\src\main\java\com\ramesh\gof\chain\App.java,com.ramesh.gof.chain.App,main/1[java.lang.String[]],king,3
C:\kanmaytacker\iterator\src\main\java\com\ramesh\gof\iterator\App.java,com.ramesh.gof.iterator.App,main/1[java.lang.String[]],args,0
C:\kanmaytacker\iterator\src\main\java\com\ramesh\gof\iterator\App.java,com.ramesh.gof.iterator.App,main/1[java.lang.String[]],chest,4
C:\kanmaytacker\iterator\src\main\java\com\ramesh\gof\iterator\App.java,com.ramesh.gof.iterator.App,main/1[java.lang.String[]],weaponIterator,2
C:\kanmaytacker\iterator\src\main\java\com\ramesh\gof\iterator\App.java,com.ramesh.gof.iterator.App,main/1[java.lang.String[]],ringIterator,2
C:\kanmaytacker\iterator\src\main\java\com\ramesh\gof\iterator\App.java,com.ramesh.gof.iterator.App,main/1[java.lang.String[]],potionIterator,2
C:\kanmaytacker\iterator\src\main\java\com\ramesh\gof\iterator\App.java,com.ramesh.gof.iterator.App,main/1[java.lang.String[]],it,2
C:\kanmaytacker\builder\src\main\java\com\iluwatar\builder\App.java,com.iluwatar.builder.App,main/1[java.lang.String[]],args,0
C:\kanmaytacker\builder\src\main\java\com\iluwatar\builder\App.java,com.iluwatar.builder.App,main/1[java.lang.String[]],mage,1
C:\kanmaytacker\builder\src\main\java\com\iluwatar\builder\App.java,com.iluwatar.builder.App,main/1[java.lang.String[]],warrior,1
C:\kanmaytacker\builder\src\main\java\com\iluwatar\builder\App.java,com.iluwatar.builder.App,main/1[java.lang.String[]],thief,1
C:\kanmaytacker\proxy\src\main\java\com\ramesh\gof\proxy\secondexample\WizardTowerProxy.java,com.ramesh.gof.proxy.secondexample.WizardTowerProxy,enter/1[com.ramesh.gof.proxy.secondexample.Wizard],wizard,2
