file,class,method,variable,usage
C:\StateDesignPattern\DecoratorDesignPattern\src\ShoppingCartDecorator.java,ShoppingCartDecorator,ShoppingCartDecorator/1[ShoppingCart],shoppingCart,3
C:\StateDesignPattern\DecoratorDesignPattern\src\ShoppingCartDecorator.java,ShoppingCartDecorator,getCost/0,shoppingCart,1
C:\StateDesignPattern\DecoratorDesignPattern\src\ShoppingCartDecorator.java,ShoppingCartDecorator,getProducts/0,shoppingCart,1
C:\StateDesignPattern\Visitor\MediumTeam.java,VisitorPack.MediumTeam,getTicketPrice/0,ticketPrice,1
C:\StateDesignPattern\Visitor\MediumTeam.java,VisitorPack.MediumTeam,getTeamName/0,teamName,1
C:\StateDesignPattern\Visitor\MediumTeam.java,VisitorPack.MediumTeam,getNumOfFans/0,numOfFans,1
C:\StateDesignPattern\Visitor\MediumTeam.java,VisitorPack.MediumTeam,"MediumTeam/3[int,int,java.lang.String]",teamName,3
C:\StateDesignPattern\Visitor\MediumTeam.java,VisitorPack.MediumTeam,"MediumTeam/3[int,int,java.lang.String]",ticketPrice,3
C:\StateDesignPattern\Visitor\MediumTeam.java,VisitorPack.MediumTeam,"MediumTeam/3[int,int,java.lang.String]",numOfFans,3
C:\StateDesignPattern\Visitor\SmallTeam.java,VisitorPack.SmallTeam,getTicketPrice/0,ticketPrice,1
C:\StateDesignPattern\Visitor\SmallTeam.java,VisitorPack.SmallTeam,getTeamName/0,teamName,1
C:\StateDesignPattern\Visitor\SmallTeam.java,VisitorPack.SmallTeam,getNumOfFans/0,numOfFans,1
C:\StateDesignPattern\Visitor\SmallTeam.java,VisitorPack.SmallTeam,"SmallTeam/3[int,int,java.lang.String]",teamName,3
C:\StateDesignPattern\Visitor\SmallTeam.java,VisitorPack.SmallTeam,"SmallTeam/3[int,int,java.lang.String]",ticketPrice,3
C:\StateDesignPattern\Visitor\SmallTeam.java,VisitorPack.SmallTeam,"SmallTeam/3[int,int,java.lang.String]",numOfFans,3
C:\StateDesignPattern\Builder\Car.java,BuilderPack.Car,setGear/1[java.lang.String],gear,3
C:\StateDesignPattern\Builder\Car.java,BuilderPack.Car,setCarColor/1[java.lang.String],color,3
C:\StateDesignPattern\Builder\Car.java,BuilderPack.Car,toString/0,wheels,1
C:\StateDesignPattern\Builder\Car.java,BuilderPack.Car,toString/0,color,1
