file,class,method,variable,usage
C:\StateDesignPattern\Mediator\Mediator.java,MediatorPack.Mediator,addBuyer/1[MediatorPack.Buyer],buyer,0
C:\StateDesignPattern\DecoratorDesignPattern\src\ShoppingCartDecorator.java,ShoppingCartDecorator,ShoppingCartDecorator/1[ShoppingCart],shoppingCart,2
C:\StateDesignPattern\Visitor\MediumTeam.java,VisitorPack.MediumTeam,"MediumTeam/3[int,int,java.lang.String]",teamName,2
C:\StateDesignPattern\Visitor\MediumTeam.java,VisitorPack.MediumTeam,"MediumTeam/3[int,int,java.lang.String]",ticketPrice,2
C:\StateDesignPattern\Visitor\MediumTeam.java,VisitorPack.MediumTeam,"MediumTeam/3[int,int,java.lang.String]",numOfFans,2
C:\StateDesignPattern\Visitor\MediumTeam.java,VisitorPack.MediumTeam,accept/1[VisitorPack.Visitor],visitor,1
C:\StateDesignPattern\StrategyDesignPattern\src\Shark.java,Shark,"Shark/3[java.lang.String,int,int]",name,1
C:\StateDesignPattern\StrategyDesignPattern\src\Shark.java,Shark,"Shark/3[java.lang.String,int,int]",weight,1
C:\StateDesignPattern\StrategyDesignPattern\src\Shark.java,Shark,"Shark/3[java.lang.String,int,int]",height,1
C:\StateDesignPattern\StrategyDesignPattern\src\Shark.java,Shark,swimDeeper/1[int],num,1
C:\StateDesignPattern\CompositePack\Main.java,CompositePack.Main,main/1[java.lang.String[]],args,0
C:\StateDesignPattern\CompositePack\Main.java,CompositePack.Main,main/1[java.lang.String[]],all,5
C:\StateDesignPattern\CompositePack\Main.java,CompositePack.Main,main/1[java.lang.String[]],pikudMerkaz,3
C:\StateDesignPattern\CompositePack\Main.java,CompositePack.Main,main/1[java.lang.String[]],sol1,2
C:\StateDesignPattern\CompositePack\Main.java,CompositePack.Main,main/1[java.lang.String[]],commander1,1
C:\StateDesignPattern\CompositePack\Main.java,CompositePack.Main,main/1[java.lang.String[]],sol2,2
C:\StateDesignPattern\CompositePack\Main.java,CompositePack.Main,main/1[java.lang.String[]],commander2,1
C:\StateDesignPattern\CompositePack\Main.java,CompositePack.Main,main/1[java.lang.String[]],pikudDarom,3
C:\StateDesignPattern\Mediator\AuctionBuyer.java,MediatorPack.AuctionBuyer,"AuctionBuyer/2[MediatorPack.Mediator,java.lang.String]",name,1
C:\StateDesignPattern\Mediator\AuctionBuyer.java,MediatorPack.AuctionBuyer,"AuctionBuyer/2[MediatorPack.Mediator,java.lang.String]",mediator,1
C:\StateDesignPattern\Mediator\AuctionBuyer.java,MediatorPack.AuctionBuyer,bid/1[int],price,2
C:\StateDesignPattern\Visitor\SmallTeam.java,VisitorPack.SmallTeam,accept/1[VisitorPack.Visitor],visitor,1
C:\StateDesignPattern\Visitor\SmallTeam.java,VisitorPack.SmallTeam,"SmallTeam/3[int,int,java.lang.String]",teamName,2
C:\StateDesignPattern\Visitor\SmallTeam.java,VisitorPack.SmallTeam,"SmallTeam/3[int,int,java.lang.String]",ticketPrice,2
C:\StateDesignPattern\Visitor\SmallTeam.java,VisitorPack.SmallTeam,"SmallTeam/3[int,int,java.lang.String]",numOfFans,2
C:\StateDesignPattern\Builder\Car.java,BuilderPack.Car,setGear/1[java.lang.String],gear,2
C:\StateDesignPattern\Builder\Car.java,BuilderPack.Car,setCarColor/1[java.lang.String],color,2
C:\StateDesignPattern\Builder\Car.java,BuilderPack.Car,setEngine/1[java.lang.String],engine,2
C:\StateDesignPattern\Builder\Car.java,BuilderPack.Car,setWheels/1[java.lang.String],wheels,2
C:\StateDesignPattern\Visitor\Visitibale.java,VisitorPack.Visitibale,accept/1[VisitorPack.Visitor],visitor,0
C:\StateDesignPattern\Observer\main.java,ObserverPack.main,main/1[java.lang.String[]],args,0
C:\StateDesignPattern\Observer\main.java,ObserverPack.main,main/1[java.lang.String[]],handleStore,13
C:\StateDesignPattern\Observer\main.java,ObserverPack.main,main/1[java.lang.String[]],observer1,1
C:\StateDesignPattern\Observer\main.java,ObserverPack.main,main/1[java.lang.String[]],observer2,1
C:\StateDesignPattern\ChainOfResponsibilty\Chain.java,ChainOfResponsibilityPack.Chain,setNextChain/1[ChainOfResponsibilityPack.Chain],higherLevel,0
C:\StateDesignPattern\ChainOfResponsibilty\Chain.java,ChainOfResponsibilityPack.Chain,solveTheProblem/1[java.lang.String],levelOfProblem,0
C:\StateDesignPattern\PrototypeDesignPattern\src\Magician.java,Magician,clone/0,e,1
C:\StateDesignPattern\PrototypeDesignPattern\src\Magician.java,Magician,clone/0,magician,2
C:\StateDesignPattern\abstractFactoryDesignPattern\src\HeroFactory.java,HeroFactory,getHero/1[java.lang.String],heroType,1
C:\StateDesignPattern\abstractFactoryDesignPattern\src\HeroFactory.java,HeroFactory,getVillain/1[java.lang.String],s,0
C:\StateDesignPattern\Observer\Client.java,Client,removeClient/1[Observer],o,0
C:\StateDesignPattern\Observer\Client.java,Client,addClient/1[Observer],o,0
C:\StateDesignPattern\StrategyDesignPattern\src\Dog.java,Dog,"Dog/3[java.lang.String,int,int]",name,1
C:\StateDesignPattern\StrategyDesignPattern\src\Dog.java,Dog,"Dog/3[java.lang.String,int,int]",weight,1
C:\StateDesignPattern\StrategyDesignPattern\src\Dog.java,Dog,"Dog/3[java.lang.String,int,int]",height,1
