file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\remote-desktop-clients-master\bVNC\src\main\java\com\iiordanov\android\bc\IBCHaptic.java,com.iiordanov.android.bc.IBCHaptic,interface,1,5,4,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\input\RdpKeyboardMapper.java,com.undatech.opaque.input.RdpKeyboardMapper$KeyProcessingListener,interface,0,0,0,0,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\iiordanov\bVNC\BitmapImplHint.java,com.iiordanov.bVNC.BitmapImplHint,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,0,5,0,0,0,0,0,0,3,3,0,3,0,0,0,0,14,0,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,class,4,30,26,4,20,1,3,4,176,0.925,0.036842104,0.036842104,20,0,19,0,1,0,20,16,0,0,6,1,1,1,4,0,1,0,0,45,1,0,0,0,0,3,1,14,0,8,0,0,0,0,68,1025,0
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,class,5,7,2,5,26,1,0,23,9,0.74675333,0.32142857,0.75,11,3,8,3,0,0,8,0,0,2,13,4,0,0,0,13,0,0,11,107,5,1,6,3,0,12,5,25,5,17,3,0,0,0,133,0,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\iiordanov\bVNC\input\RemoteRdpPointer.java,com.iiordanov.bVNC.input.RemoteRdpPointer,class,7,9,2,7,22,2,0,10,79,0.9285714,0.09090909,0.09090909,14,0,12,2,0,0,12,0,0,0,10,10,0,10,0,0,10,0,1,91,0,0,3,0,0,4,17,28,3,11,2,0,0,0,76,1,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\iiordanov\android\bc\BCActivityManagerDefault.java,com.iiordanov.android.bc.BCActivityManagerDefault,class,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\iiordanov\bVNC\dialogs\ImportTlsCaDialog.java,com.iiordanov.bVNC.dialogs.ImportTlsCaDialog,class,15,19,4,15,6,2,0,24,3,0.6851852,0.2,0.3,6,1,4,1,1,0,5,0,0,0,9,2,1,8,0,0,2,0,0,64,0,0,0,0,0,1,2,14,0,10,0,2,0,0,72,1,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\iiordanov\android\bc\BCActivityManagerV5.java,com.iiordanov.android.bc.BCActivityManagerV5,class,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\iiordanov\android\bc\DummyScaleGestureDetector.java,com.iiordanov.android.bc.DummyScaleGestureDetector,class,2,3,1,2,9,1,0,0,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,29,9,0,0,0,0,0,7,0,0,0,0,0,0,0,42,0,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\iiordanov\util\PermissionsManager.java,com.iiordanov.util.PermissionsManager,class,4,7,3,4,9,1,0,16,0,0.25,0.0,0.0,2,2,1,1,0,0,2,0,0,0,2,2,1,1,0,0,1,0,5,42,3,1,2,1,0,8,1,6,2,6,3,0,0,0,31,1,0
