file,class,method,variable,usage
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\ui\FlatPopupMenuBorder.java,com.formdev.flatlaf.ui.FlatPopupMenuBorder,getStyleableValue/1[java.lang.String],borderColor,1
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\ui\FlatPopupMenuBorder.java,com.formdev.flatlaf.ui.FlatPopupMenuBorder,getLineColor/0,borderColor,2
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\ui\FlatPopupMenuBorder.java,com.formdev.flatlaf.ui.FlatPopupMenuBorder,"applyStyleProperty/2[java.lang.String,java.lang.Object]",borderColor,1
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,updateComponentTreeUI/0,tabbedPane,1
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,selectRecentTab/0,KEY_SELECTED_TAB,1
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,selectRecentTab/0,buttonsTab,1
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,selectRecentTab/0,state,1
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,selectRecentTab/0,switchesTab,1
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,selectRecentTab/0,allTab,1
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,selectRecentTab/0,tabbedPane,2
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,selectedTabChanged/0,KEY_SELECTED_TAB,1
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,selectedTabChanged/0,state,1
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,selectedTabChanged/0,tabbedPane,1
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,FlatThemePreview/1[com.formdev.flatlaf.themeeditor.FlatSyntaxTextArea],timer,2
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,FlatThemePreview/1[com.formdev.flatlaf.themeeditor.FlatSyntaxTextArea],buttonsTab,2
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,FlatThemePreview/1[com.formdev.flatlaf.themeeditor.FlatSyntaxTextArea],fontsTab,2
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,FlatThemePreview/1[com.formdev.flatlaf.themeeditor.FlatSyntaxTextArea],state,1
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,FlatThemePreview/1[com.formdev.flatlaf.themeeditor.FlatSyntaxTextArea],switchesTab,2
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,FlatThemePreview/1[com.formdev.flatlaf.themeeditor.FlatSyntaxTextArea],allTab,2
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,FlatThemePreview/1[com.formdev.flatlaf.themeeditor.FlatSyntaxTextArea],textArea,4
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,FlatThemePreview/1[com.formdev.flatlaf.themeeditor.FlatSyntaxTextArea],tabbedPane,5
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,removeUpdate/1[javax.swing.event.DocumentEvent],timer,1
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,runWithUIDefaultsGetter/1[java.lang.Runnable],runWithUIDefaultsGetterLevel,3
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,getUIDefaultProperty/1[java.lang.Object],inGetVariables,3
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,getUIDefaultProperty/1[java.lang.Object],lazyValueCache,1
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,getUIDefaultProperty/1[java.lang.Object],inGetDefaultFont,3
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,initComponents/0,previewSeparator,3
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,initComponents/0,previewLabel,4
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,initComponents/0,tabbedPane,5
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,insertUpdate/1[javax.swing.event.DocumentEvent],timer,1
C:\FlatLaf-main\flatlaf-jide-oss\src\main\java\com\formdev\flatlaf\jideoss\FlatJideOssDefaultsAddon.java,com.formdev.flatlaf.jideoss.FlatJideOssDefaultsAddon$FlatJideUIDefaultsCustomizer,customize/1[javax.swing.UIDefaults],jideDefaults,3
C:\FlatLaf-main\flatlaf-jide-oss\src\main\java\com\formdev\flatlaf\jideoss\FlatJideOssDefaultsAddon.java,com.formdev.flatlaf.jideoss.FlatJideOssDefaultsAddon$FlatJideUIDefaultsCustomizer,initialize/1[javax.swing.UIDefaults],jideDefaults,2
C:\FlatLaf-main\flatlaf-testing\src\main\java\com\formdev\flatlaf\testing\FlatComponents2Test.java,com.formdev.flatlaf.testing.FlatComponents2Test$TestTableModel,setColumnCount/1[int],columnCount,5
