file,class,method,variable,usage
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\ui\FlatPopupMenuBorder.java,com.formdev.flatlaf.ui.FlatPopupMenuBorder,getStyleableInfos/0,infos,3
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\ui\FlatPopupMenuBorder.java,com.formdev.flatlaf.ui.FlatPopupMenuBorder,getStyleableValue/1[java.lang.String],key,1
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\ui\FlatPopupMenuBorder.java,com.formdev.flatlaf.ui.FlatPopupMenuBorder,"getBorderInsets/2[java.awt.Component,java.awt.Insets]",c,4
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\ui\FlatPopupMenuBorder.java,com.formdev.flatlaf.ui.FlatPopupMenuBorder,"getBorderInsets/2[java.awt.Component,java.awt.Insets]",insets,6
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\ui\FlatPopupMenuBorder.java,com.formdev.flatlaf.ui.FlatPopupMenuBorder,"applyStyleProperty/2[java.lang.String,java.lang.Object]",oldValue,2
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\ui\FlatPopupMenuBorder.java,com.formdev.flatlaf.ui.FlatPopupMenuBorder,"applyStyleProperty/2[java.lang.String,java.lang.Object]",value,2
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\ui\FlatPopupMenuBorder.java,com.formdev.flatlaf.ui.FlatPopupMenuBorder,"applyStyleProperty/2[java.lang.String,java.lang.Object]",key,2
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,createPreviewTab/1[javax.swing.JComponent],c,1
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,createPreviewTab/1[javax.swing.JComponent],scrollPane,5
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,updateComponentTreeUI/0,selComp,5
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,updateComponentTreeUI/0,ex,1
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,selectRecentTab/0,selectedTab,4
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,changedUpdate/1[javax.swing.event.DocumentEvent],e,0
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,FlatThemePreview/1[com.formdev.flatlaf.themeeditor.FlatSyntaxTextArea],e,3
C:\FlatLaf-main\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,FlatThemePreview/1[com.formdev.flatlaf.themeeditor.FlatSyntaxTextArea],textArea,3
